Episode 94, Reward: 16.0, Avg Critic Loss: 0.7053, Avg Actor Loss: -3.3446, Avg Alpha Loss: -0.6644Updates: 194
Episode 95, Reward: 10.0, Avg Critic Loss: 0.9187, Avg Actor Loss: -3.4121, Avg Alpha Loss: -0.6665Updates: 204
Episode 96, Reward: 8.0, Avg Critic Loss: 0.8687, Avg Actor Loss: -3.4133, Avg Alpha Loss: -0.6533Updates: 212
Episode 97, Reward: 22.0, Avg Critic Loss: 0.8330, Avg Actor Loss: -3.5581, Avg Alpha Loss: -0.6583Updates: 234
Episode 98, Reward: 9.0, Avg Critic Loss: 0.7784, Avg Actor Loss: -3.6330, Avg Alpha Loss: -0.6548Updates: 243
Episode 99, Reward: 15.0, Avg Critic Loss: 0.8219, Avg Actor Loss: -3.7143, Avg Alpha Loss: -0.6630Updates: 258
Episode 100, Reward: 8.0, Avg Critic Loss: 0.7393, Avg Actor Loss: -3.7861, Avg Alpha Loss: -0.6573Updates: 266
Episode 101, Reward: 11.0, Avg Critic Loss: 0.7905, Avg Actor Loss: -3.7904, Avg Alpha Loss: -0.6449Updates: 277
Episode 102, Reward: 11.0, Avg Critic Loss: 0.7452, Avg Actor Loss: -3.8557, Avg Alpha Loss: -0.6654Updates: 288
Episode 103, Reward: 9.0, Avg Critic Loss: 0.6262, Avg Actor Loss: -3.9442, Avg Alpha Loss: -0.6746Updates: 297
Episode 104, Reward: 9.0, Avg Critic Loss: 0.5001, Avg Actor Loss: -4.0101, Avg Alpha Loss: -0.6819Updates: 306
Episode 105, Reward: 8.0, Avg Critic Loss: 0.4024, Avg Actor Loss: -4.0933, Avg Alpha Loss: -0.6762Updates: 314
Episode 106, Reward: 10.0, Avg Critic Loss: 0.2896, Avg Actor Loss: -4.1469, Avg Alpha Loss: -0.6850Updates: 324
Episode 107, Reward: 16.0, Avg Critic Loss: 0.2730, Avg Actor Loss: -4.1905, Avg Alpha Loss: -0.6907Updates: 340
Episode 108, Reward: 22.0, Avg Critic Loss: 0.1513, Avg Actor Loss: -4.3395, Avg Alpha Loss: -0.6944Updates: 362
Episode 109, Reward: 12.0, Avg Critic Loss: 0.0811, Avg Actor Loss: -4.4906, Avg Alpha Loss: -0.7043Updates: 374
