Episode 155, Reward: 0.03999999538064003, Avg Critic Loss: 0.0149, Avg Actor Loss: -1.7022, Avg Alpha Loss: -0.6897
Episode 156, Reward: 0.06999999284744263, Avg Critic Loss: 0.0224, Avg Actor Loss: -1.7182, Avg Alpha Loss: -0.6888
Episode 157, Reward: 0.06999999284744263, Avg Critic Loss: 0.0169, Avg Actor Loss: -1.7213, Avg Alpha Loss: -0.6890
Episode 158, Reward: 0.07499999552965164, Avg Critic Loss: 0.0298, Avg Actor Loss: -1.7344, Avg Alpha Loss: -0.6922
Episode 159, Reward: 0.07499999552965164, Avg Critic Loss: 0.0264, Avg Actor Loss: -1.7665, Avg Alpha Loss: -0.6903
Episode 160, Reward: 0.16999997198581696, Avg Critic Loss: 0.0237, Avg Actor Loss: -1.7751, Avg Alpha Loss: -0.6918
Episode 161, Reward: 0.059999991208314896, Avg Critic Loss: 0.0296, Avg Actor Loss: -1.8089, Avg Alpha Loss: -0.6893
Episode 162, Reward: 0.059999991208314896, Avg Critic Loss: 0.0434, Avg Actor Loss: -1.8204, Avg Alpha Loss: -0.6962
Episode 163, Reward: 0.05499999225139618, Avg Critic Loss: 0.0290, Avg Actor Loss: -1.8262, Avg Alpha Loss: -0.6925
Episode 164, Reward: 0.08500000089406967, Avg Critic Loss: 0.0265, Avg Actor Loss: -1.8689, Avg Alpha Loss: -0.6968
Episode 165, Reward: 0.05499999225139618, Avg Critic Loss: 0.0297, Avg Actor Loss: -1.8656, Avg Alpha Loss: -0.6984
Episode 166, Reward: 0.04999999329447746, Avg Critic Loss: 0.0220, Avg Actor Loss: -1.8739, Avg Alpha Loss: -0.6958
Episode 167, Reward: 0.1300000101327896, Avg Critic Loss: 0.0307, Avg Actor Loss: -1.8885, Avg Alpha Loss: -0.6965
Episode 168, Reward: 0.0950000062584877, Avg Critic Loss: 0.0319, Avg Actor Loss: -1.9329, Avg Alpha Loss: -0.6955
Episode 169, Reward: 0.06499999016523361, Avg Critic Loss: 0.0432, Avg Actor Loss: -1.9176, Avg Alpha Loss: -0.6996
Episode 170, Reward: 0.07999999821186066, Avg Critic Loss: 0.0370, Avg Actor Loss: -1.9389, Avg Alpha Loss: -0.6968
Episode 171, Reward: 0.10500001162290573, Avg Critic Loss: 0.0263, Avg Actor Loss: -1.9900, Avg Alpha Loss: -0.6980
Episode 172, Reward: 0.03999999538064003, Avg Critic Loss: 0.0432, Avg Actor Loss: -1.9775, Avg Alpha Loss: -0.6982
Episode 173, Reward: 0.03999999538064003, Avg Critic Loss: 0.0426, Avg Actor Loss: -1.9774, Avg Alpha Loss: -0.6971
Episode 174, Reward: 0.1300000101327896, Avg Critic Loss: 0.0427, Avg Actor Loss: -1.9956, Avg Alpha Loss: -0.6988
Episode 175, Reward: 0.06999999284744263, Avg Critic Loss: 0.0382, Avg Actor Loss: -2.0266, Avg Alpha Loss: -0.7026
Episode 176, Reward: 0.059999991208314896, Avg Critic Loss: 0.0266, Avg Actor Loss: -2.0876, Avg Alpha Loss: -0.7031
Episode 177, Reward: 0.04999999329447746, Avg Critic Loss: 0.0406, Avg Actor Loss: -2.0500, Avg Alpha Loss: -0.6997
Episode 178, Reward: 0.059999991208314896, Avg Critic Loss: 0.0321, Avg Actor Loss: -2.0941, Avg Alpha Loss: -0.7006
Episode 179, Reward: 0.09000000357627869, Avg Critic Loss: 0.0322, Avg Actor Loss: -2.0881, Avg Alpha Loss: -0.6998
Episode 180, Reward: 0.044999994337558746, Avg Critic Loss: 0.0353, Avg Actor Loss: -2.1265, Avg Alpha Loss: -0.7059
Episode 181, Reward: 0.07999999821186066, Avg Critic Loss: 0.0379, Avg Actor Loss: -2.1149, Avg Alpha Loss: -0.7038
Episode 182, Reward: 0.03999999538064003, Avg Critic Loss: 0.0415, Avg Actor Loss: -2.0918, Avg Alpha Loss: -0.7013
Episode 183, Reward: 0.044999994337558746, Avg Critic Loss: 0.0429, Avg Actor Loss: -2.1549, Avg Alpha Loss: -0.7079
Episode 184, Reward: 0.044999994337558746, Avg Critic Loss: 0.0423, Avg Actor Loss: -2.1470, Avg Alpha Loss: -0.7084
Episode 185, Reward: 0.044999994337558746, Avg Critic Loss: 0.0479, Avg Actor Loss: -2.1376, Avg Alpha Loss: -0.7047
Episode 186, Reward: 0.09000000357627869, Avg Critic Loss: 0.0404, Avg Actor Loss: -2.1772, Avg Alpha Loss: -0.7083
Episode 187, Reward: 0.044999994337558746, Avg Critic Loss: 0.0386, Avg Actor Loss: -2.2198, Avg Alpha Loss: -0.7082
Episode 188, Reward: 0.06499999016523361, Avg Critic Loss: 0.0358, Avg Actor Loss: -2.2026, Avg Alpha Loss: -0.7078
Episode 189, Reward: 0.05499999225139618, Avg Critic Loss: 0.0369, Avg Actor Loss: -2.2062, Avg Alpha Loss: -0.7079
Episode 190, Reward: 0.22999991476535797, Avg Critic Loss: 0.0363, Avg Actor Loss: -2.2403, Avg Alpha Loss: -0.7086
